iter	Passed	Remaining
0	18	10843
1	34	10454
2	51	10341
3	68	10223
4	84	10050
5	99	9887
6	115	9771
7	130	9683
8	145	9586
9	162	9600
10	179	9598
11	195	9570
12	211	9545
13	227	9518
14	255	9971
15	279	10203
16	304	10434
17	324	10501
18	354	10828
19	379	11008
20	406	11196
21	443	11648
22	477	11967
23	504	12109
24	529	12187
25	558	12322
26	588	12488
27	621	12692
28	646	12722
29	670	12744
30	695	12763
31	720	12790
32	745	12813
33	770	12833
34	794	12821
35	818	12818
36	840	12782
37	864	12790
38	888	12787
39	912	12780
40	935	12757
41	958	12735
42	982	12732
43	1005	12707
44	1030	12705
45	1052	12678
46	1076	12665
47	1099	12642
48	1121	12614
49	1144	12589
50	1167	12562
51	1189	12534
52	1215	12544
53	1240	12541
54	1264	12533
55	1288	12520
56	1312	12507
57	1346	12579
58	1371	12578
59	1397	12575
60	1424	12582
61	1447	12560
62	1470	12530
63	1493	12505
64	1517	12489
65	1538	12451
66	1560	12415
67	1582	12384
68	1605	12358
69	1629	12333
70	1650	12298
71	1673	12270
72	1696	12247
73	1719	12220
74	1741	12188
75	1762	12150
76	1781	12102
77	1802	12060
78	1823	12027
79	1843	11983
80	1864	11948
81	1886	11918
82	1909	11891
83	1932	11868
84	1954	11844
85	1977	11820
86	1999	11788
87	2023	11771
88	2045	11746
89	2069	11729
90	2091	11696
91	2113	11670
92	2136	11645
93	2159	11625
94	2181	11596
95	2203	11566
96	2225	11538
97	2245	11502
98	2265	11465
99	2285	11428
100	2305	11390
101	2325	11354
102	2345	11319
103	2364	11279
104	2384	11241
105	2405	11208
106	2426	11179
107	2446	11144
108	2466	11110
109	2486	11078
110	2509	11054
111	2530	11024
112	2549	10986
113	2569	10953
114	2589	10921
115	2608	10885
116	2629	10855
117	2648	10818
118	2668	10784
119	2687	10748
120	2705	10710
121	2726	10683
122	2746	10649
123	2764	10612
124	2784	10580
125	2806	10559
126	2825	10525
127	2847	10498
128	2866	10467
129	2886	10435
130	2905	10403
131	2927	10379
132	2948	10352
133	2969	10325
134	2988	10294
135	3010	10270
136	3030	10242
137	3050	10213
138	3070	10185
139	3091	10157
140	3111	10129
141	3131	10101
142	3151	10070
143	3170	10040
144	3191	10016
145	3214	9995
146	3236	9973
147	3257	9948
148	3279	9925
149	3301	9904
150	3323	9883
151	3341	9849
152	3361	9821
153	3381	9792
154	3401	9766
155	3421	9738
156	3441	9711
157	3461	9683
158	3481	9655
159	3504	9636
160	3527	9617
161	3547	9591
162	3567	9563
163	3587	9536
164	3608	9512
165	3628	9486
166	3647	9458
167	3666	9429
168	3687	9403
169	3708	9381
170	3729	9355
171	3749	9330
172	3770	9306
173	3791	9282
174	3813	9260
175	3834	9237
176	3853	9209
177	3874	9185
178	3896	9164
179	3917	9139
180	3938	9116
181	3958	9092
182	3979	9067
183	4000	9045
184	4023	9025
185	4045	9004
186	4067	8983
187	4088	8960
188	4110	8938
189	4129	8910
190	4149	8885
191	4169	8860
192	4189	8834
193	4209	8809
194	4229	8784
195	4249	8758
196	4269	8734
197	4291	8712
198	4309	8684
199	4327	8655
200	4346	8628
201	4365	8602
202	4385	8577
203	4404	8549
204	4422	8520
205	4441	8494
206	4460	8468
207	4479	8442
208	4499	8417
209	4517	8390
210	4537	8364
211	4557	8340
212	4574	8312
213	4594	8286
214	4612	8259
215	4633	8236
216	4654	8214
217	4674	8191
218	4696	8170
219	4717	8149
220	4740	8129
221	4770	8122
222	4795	8106
223	4816	8085
224	4849	8082
225	4882	8079
226	4905	8059
227	4926	8037
228	4947	8015
229	4969	7995
230	4991	7973
231	5012	7950
232	5033	7928
233	5055	7907
234	5079	7888
235	5098	7864
236	5121	7843
237	5143	7822
238	5163	7799
239	5183	7775
240	5205	7753
241	5225	7730
242	5246	7707
243	5268	7687
244	5290	7665
245	5309	7640
246	5331	7619
247	5353	7598
248	5375	7577
249	5395	7553
250	5415	7530
251	5439	7511
252	5458	7486
253	5476	7460
254	5496	7436
255	5516	7413
256	5537	7390
257	5559	7369
258	5584	7352
259	5608	7334
260	5631	7313
261	5656	7297
262	5683	7282
263	5708	7265
264	5733	7247
265	5760	7233
266	5785	7215
267	5808	7196
268	5834	7179
269	5860	7162
270	5885	7145
271	5908	7124
272	5931	7104
273	5953	7083
274	5975	7061
275	5996	7039
276	6019	7019
277	6039	6995
278	6061	6974
279	6083	6953
280	6104	6930
281	6125	6907
282	6147	6885
283	6169	6864
284	6191	6843
285	6211	6820
286	6230	6795
287	6251	6772
288	6271	6749
289	6290	6724
290	6309	6699
291	6330	6677
292	6351	6654
293	6371	6631
294	6389	6606
295	6410	6583
296	6430	6559
297	6450	6536
298	6470	6513
299	6491	6491
300	6511	6467
301	6531	6445
302	6551	6421
303	6570	6397
304	6592	6376
305	6614	6355
306	6635	6332
307	6655	6309
308	6675	6287
309	6698	6266
310	6720	6245
311	6739	6220
312	6757	6196
313	6779	6174
314	6798	6151
315	6820	6129
316	6838	6105
317	6858	6082
318	6879	6059
319	6900	6037
320	6917	6012
321	6934	5987
322	6955	5964
323	6974	5940
324	6993	5917
325	7013	5894
326	7032	5871
327	7052	5848
